,OBJECTID,PLANT_NAME,COUNTY,ONLINE_MW,FACILITY,GENERAL_FUEL,PRIMARY_FUEL,TECHNOLOGY,STATUS,TURBINE_MW,ONLINE_DATE,PLANT_CITY,PLANT_STATE,PLANT_ZIPC,RIVER_SYSTEM,STREAM_NAME,DEVELOPER,ELEVATION,location,latlons,lat,lon
11,16,JAMES B  BLACK,SHASTA,172.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=85, 2=84.1",12/1/65,MONTGOMERY CREEK,CA,96065,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,437.34146119999997,MONTGOMERY CREEK+CA,"[-121.9236074, 40.8415447]",40.8415447,-121.9236074
12,17,MEGA RENEWABLES (SILVER SPRINGS),SHASTA,0.6,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,8/15/87,BIG BEND,CA,96011,PIT RIVER,"SILVER SPRINGS, PIT RIVER",MEGA RENEWABLES,470.88854979999996,BIG BEND+CA,"[-121.911107, 41.0207132]",41.0207132,-121.911107
13,18,PIT 4,SHASTA,95.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=55, 2=47",6/1/55,MONTGOMERY CREEK,CA,96065,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,632.4794922,MONTGOMERY CREEK+CA,"[-121.9236074, 40.8415447]",40.8415447,-121.9236074
14,19,PIT 5,SHASTA,160.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=41, 2=41, 3=41, 4=41",4/1/44,MONTGOMERY CREEK,CA,96065,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,436.41506960000004,MONTGOMERY CREEK+CA,"[-121.9236074, 40.8415447]",40.8415447,-121.9236074
15,21,SLATE CREEK,SHASTA,4.2,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/1/84,LAKEHEAD,CA,96051,SACRAMENTO RIVER,"SLATE CREEK, SACRAMENTO RIVER",CATALYST STATE CREEK HYDRO PARTNERSHIP,458.50387570000004,LAKEHEAD+CA,"[-122.3791777, 40.90515]",40.90515,-122.3791777
16,22,HAT CREEK 2,SHASTA,9.9,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,9/1/21,CASSEL,CA,96016,PIT RIVER,"HAT CREEK, PIT RIVER",PACIFIC GAS & ELECTRIC,851.5488280999999,CASSEL+CA,"[-121.5571089, 40.9170121]",40.9170121,-121.5571089
17,24,HAT CREEK 1,SHASTA,9.9,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,8/1/21,CASSEL,CA,96016,PIT RIVER,"HAT CREEK, PIT RIVER",PACIFIC GAS & ELECTRIC,971.2404175,CASSEL+CA,"[-121.5571089, 40.9170121]",40.9170121,-121.5571089
18,25,PIT 6,SHASTA,80.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=39, 2=40",5/1/65,MONTGOMERY CREEK,CA,96065,PIT RIVER,"PIT RIVER, N.E. OF LAKE SHASTA",PACIFIC GAS & ELECTRIC,399.4580383,MONTGOMERY CREEK+CA,"[-121.9236074, 40.8415447]",40.8415447,-121.9236074
19,35,HATCHET RIDGE,SHASTA,101.2,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,2.3,11/19/10,BURNEY,CA,96013,,,,1608.2174072,BURNEY+CA,"[-121.6608205, 40.8823811]",40.8823811,-121.6608205
20,39,PAN PACIFIC (WEBER FLAT),TRINITY,0.98,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/11/84,COVINGTON MILL,CA,96091,,WEST FORK TRINITY ALPS CREEK,PAN PACIFIC HYDRO INC,770.6168213,COVINGTON MILL+CA,"[-122.212362, 40.368749]",40.368749,-122.212362
21,40,PIT 7,SHASTA,112.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=55.7, 2=54.6",6/1/65,MONTGOMERY CREEK,CA,96065,PIT RIVER,PIT RIVER,PACIFIC GAS & ELECTRIC,387.0844727,MONTGOMERY CREEK+CA,"[-121.9236074, 40.8415447]",40.8415447,-121.9236074
22,44,HUMBOLDT BAY GEN STATION REPOWER,HUMBOLDT,15.0,WTE,BIOMASS,WOODWASTE,DIRECT COMBUSTION,OPERATIONAL,,9/15/86,SAMOA,CA,95564,,,NEPCO,7.1141415,SAMOA+CA,"[-124.1864518, 40.8187372]",40.8187372,-124.1864518
23,45,TRINITY,TRINITY,140.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1 = 70,  2 = 70",12/1/64,REDDING,CA,96003,TRINITY RIVER,"TRINITY RIVER, CLAIR ENGLE LAKE",USBR,583.1295166,REDDING+CA,"[-122.3916754, 40.5865396]",40.5865396,-122.3916754
24,48,CEDAR FLAT,TRINITY,0.3,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/9/84,BURNT RANCH,CA,95527,,"CEDER FLAT CREEK, MILL CREEK, TRINITY RIVER",BC HYDRO INC,306.77062989999996,BURNT RANCH+CA,"[-123.479444, 40.810556]",40.810556,-123.479444
25,55,LEWISTON,TRINITY,0.35,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,1/1/64,FRENCH GULCH,CA,96003,TRINITY RIVER,TRINITY RIVER,USBR,584.8352051,FRENCH GULCH+CA,"[-122.6383512, 40.7007031]",40.7007031,-122.6383512
26,56,SHASTA,SHASTA,629.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=125, 2=125, 3=142, 4=142, 5=142",6/1/44,REDDING,CA,96003,SHASTA DAM,"SACRAMENTO RIVER, LAKE SHASTA",USBR,188.3874207,REDDING+CA,"[-122.3916754, 40.5865396]",40.5865396,-122.3916754
27,58,T&G,SHASTA,0.34,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,10/15/84,WHITMORE,CA,96062,,"CANYON CREEK, OLD COW CREEK",T & G HYDRO,923.8295898,WHITMORE+CA,"[-121.9166612, 40.62932199999999]",40.62932199999999,-121.9166612
28,60,KILARC,SHASTA,3.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 - #2 = /1.5,10/1/03,WHITMORE,CA,96096,WHITMORE,"OLD COW CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,791.1243896000001,WHITMORE+CA,"[-121.9166612, 40.62932199999999]",40.62932199999999,-121.9166612
29,62,OLSEN POWER,SHASTA,5.0,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/3/90,WHITMORE,CA,96062,SACRAMENTO RIVER,"OLD COW CREEK, COW CREEK, SACRAMENTO RIVER",OLSEN POWER PTNS,722.8634033,WHITMORE+CA,"[-121.9166612, 40.62932199999999]",40.62932199999999,-121.9166612
30,63,KNAUF INSULATION,SHASTA,15.0,OIL/GAS,OIL/GAS,NATURAL GAS,,OPERATIONAL,,1/1/02,SHASTA LAKE,CA,96019,,,,220.7573853,SHASTA LAKE+CA,"[-122.3708419, 40.6804279]",40.6804279,-122.3708419
31,65,JUDGE FRANCIS CARR,SHASTA,154.4,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=77.24, 2=77.2",5/1/63,LEWISTON,CA,96052,SHASTA BALLY,TRINITY RIVER DIVERSION TO SACRAMENTO RIVER,USBR,373.25329589999996,LEWISTON+CA,"[-122.8080663, 40.6989943]",40.6989943,-122.8080663
32,66,SPRING CREEK,SHASTA,180.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=90, 2=90",1/1/63,REDDING,CA,96003,SHASTA BALLY,CLEAR CREEK AND TRINITY RIVER DIVERSION TO SACRAMENTO RIVER,USBR,191.12197880000002,REDDING+CA,"[-122.3916754, 40.5865396]",40.5865396,-122.3916754
33,67,KESWICK,SHASTA,117.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=39, 2=39, 3=49",1/1/49,REDDING,CA,96003,SHASTA BALLY,SACRAMENTO RIVER,USBR,149.88874819999998,REDDING+CA,"[-122.3916754, 40.5865396]",40.5865396,-122.3916754
34,68,WHISKEYTOWN,SHASTA,3.5,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,12/1/86,REDDING,CA,96003,CLEAR CREEK,"CLEAR CREEK, SACRAMENTO RIVER, WHISKEYTOWN LAKE",CITY OF REDDING,311.79187010000004,REDDING+CA,"[-122.3916754, 40.5865396]",40.5865396,-122.3916754
35,69,COW CREEK,SHASTA,1.44,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=.72, 2=.72",8/1/07,MILLVILLE,CA,96062,COW CREEK,"SAN FRANCISCO COW CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,251.6673279,MILLVILLE+CA,"[-122.1193384, 40.5767907]",40.5767907,-122.1193384
36,71,STEVE & BONNIE TETRICK,SHASTA,0.1,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,10/14/83,MILLVILLE,CA,96062,SACRAMENTO RIVER,"SOUTH COW CREEK, SACRAMENTO RIVER",WEBB MORROW,231.88473509999997,MILLVILLE+CA,"[-122.1193384, 40.5767907]",40.5767907,-122.1193384
37,72,BEAR CREEK,SHASTA,3.2,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/15/86,SHINGLETOWN,CA,96088,,SOUTH FORK BEAR CREEK,TKO POWER INC,1239.4315186,SHINGLETOWN+CA,"[-121.8891586, 40.4923784]",40.4923784,-121.8891586
38,73,BAKER CREEK,HUMBOLDT,1.5,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,12/10/87,BRIDGEVILLE,CA,95526,BAKER CREEK,"BAKER CREEK, VAN DUZEN RIVER",ALBERT HUNT & BAKER STATON ASSOCIATION,376.84371949999996,BRIDGEVILLE+CA,"[-123.7997628, 40.4693064]",40.4693064,-123.7997628
39,75,REDDING POWER,SHASTA,141.0,OIL/GAS,OIL/GAS,NATURAL GAS,"STEAM TURBINE, COMBUSTION TURBINE",OPERATIONAL,"1= 30, 2 & 3 =24, 4=16, 5 = 43, 6 = 28",6/1/91,REDDING,CA,96001,,,,158.9335175,REDDING+CA,"[-122.3916754, 40.5865396]",40.5865396,-122.3916754
40,81,VOLTA 1,SHASTA,8.55,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,4/1/80,MANTON,CA,96059,WHITMORE,"MILLSEAT CREEK, NORTH FORK BATTLE CREEK",PACIFIC GAS & ELECTRIC,680.6414185,MANTON+CA,"[-121.8699903, 40.4351568]",40.4351568,-121.8699903
41,82,SUTTER'S MILL,SHASTA,0.15,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,6/26/85,SHINGLETOWN,CA,96088,,"MILLSEAT CREEK, NORTH FORK BATTLE CREEK","FRED N. SUTTER, JR.",664.7063598999999,SHINGLETOWN+CA,"[-121.8891586, 40.4923784]",40.4923784,-121.8891586
42,85,VOLTA 2,SHASTA,1.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,10/1/81,MANTON,CA,96059,WHITMORE,"CROSS COUNTRY CANAL, NORTH FORK BATTLE CREEK",PACIFIC GAS & ELECTRIC,635.9015502999999,MANTON+CA,"[-121.8699903, 40.4351568]",40.4351568,-121.8699903
43,94,COLEMAN,SHASTA,13.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,6/19/79,ANDERSON,CA,96022,BATTLE CREEK,"BATTLE CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,144.4176788,ANDERSON+CA,"[-122.2977815, 40.448208]",40.448208,-122.2977815
44,95,INSKIP,TEHAMA,7.65,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 = 8,10/1/79,PAYNES CREEK,CA,96075,BATTLE CREEK,SOUTH FORK BATTLE CREEK,PACIFIC GAS & ELECTRIC,312.19281010000003,PAYNES CREEK+CA,"[-121.9143734, 40.3345717]",40.3345717,-121.9143734
45,96,SOUTH,TEHAMA,6.75,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/1/79,MANTON,CA,96059,WHITMORE,SOUTH FORK BATTLE CREEK,PACIFIC GAS & ELECTRIC,440.85626219999995,MANTON+CA,"[-121.8699903, 40.4351568]",40.4351568,-121.8699903
46,100,GOSSELIN,TRINITY,2.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,4/10/83,RUTH,CA,95526,,"MATTHEWS DAM, RUTH LAKE",,780.8793335,RUTH+CA,"[-123.3214139, 40.2695914]",40.2695914,-123.3214139
47,103,HAMILTON BRANCH,PLUMAS,4.8,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=2.64, 2=2.75",8/1/21,WESTWOOD,CA,96137,NF FEATHER RIVER,"HAMILTON BROOK, NORTH FORK FEATHER RIVER",PACIFIC GAS & ELECTRIC,1372.8308106,WESTWOOD+CA,"[-118.4455164, 34.0635016]",34.0635016,-118.4455164
48,104,THREE FORKS,TRINITY,1.3,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,12/28/84,ZENIA,CA,95595,EEL RIVER - ROCK CREEK,"BLUEFORD CREEK, EEL RIVER",M&N BURGESS,679.1838379,ZENIA+CA,"[-123.4919716, 40.2054245]",40.2054245,-123.4919716
49,106,BUTT VALLEY,PLUMAS,40.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/31/58,BELDEN,CA,95956,NF FEATHER RIVER,UPPER NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,1275.3651123,BELDEN+CA,"[-121.2491316, 40.00599709999999]",40.00599709999999,-121.2491316
50,109,WALMART - RED BLUFF,TEHAMA,1.0,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,,8/31/12,RED BLUFF,CA,96080,,,,72.3631287,RED BLUFF+CA,"[-122.2358302, 40.1784886]",40.1784886,-122.2358302
51,111,CARIBOU 2,PLUMAS,120.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=60, 2=60",11/9/58,BELDEN,CA,95956,NF FEATHER RIVER,UPPER NORTH FEATHER RIVER,PACIFIC GAS & ELECTRIC,919.1705322,BELDEN+CA,"[-121.2491316, 40.00599709999999]",40.00599709999999,-121.2491316
52,112,CARIBOU 1,PLUMAS,73.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=24, 2=24, 3=24",6/1/21,BELDEN,CA,95956,NF FEATHER RIVER,UPPER NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,917.2337646,BELDEN+CA,"[-121.2491316, 40.00599709999999]",40.00599709999999,-121.2491316
53,113,KEKAWAKA,TRINITY,4.95,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/27/89,ALDERPOINT,CA,95495,KEKAWAKA CREEK,"KEKAWAKA CREEK, EEL RIVER",STS HYDROPOWER LTD,144.7870178,ALDERPOINT+CA,"[-123.6122022, 40.1763525]",40.1763525,-123.6122022
54,114,OAK FLAT,PLUMAS,1.4,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 = /1.4,11/1/85,CARIBOU,CA,95915,NORTH FORK FEATHER RIVER,"UPPER NORTH FORK FEATHER RIVER, LAKE ALMANOR",PACIFIC GAS & ELECTRIC,910.8900146,CARIBOU+CA,"[-121.1577397, 40.0804428]",40.0804428,-121.1577397
55,115,FIVE BEARS,PLUMAS,0.99,HYDROELECTRIC,HYDRO,HYDRO,,OPERATIONAL,,4/27/89,TAYLORSVILLE,CA,95983,WARD CREEK,"WARD CREEK, INDIAN CREEK",FIVE BEARS HYDRO INC,1082.5290527,TAYLORSVILLE+CA,"[-120.8396752, 40.0754477]",40.0754477,-120.8396752
56,118,BELDEN,PLUMAS,117.9,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,9/14/69,BELDEN,CA,9556,NF FEATHER RIVER,UPPER NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,700.0681762999999,BELDEN+CA,"[-121.2491316, 40.00599709999999]",40.00599709999999,-121.2491316
57,119,BUCKS CREEK,PLUMAS,63.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=33, 2=32.5",3/4/28,STORRIE,CA,95980,NF FEATHER RIVER,NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,678.9428711,STORRIE+CA,"[-121.3232992, 39.9173852]",39.9173852,-121.3232992
58,121,GRIZZLY,PLUMAS,21.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,11/1/93,QUINCY,CA,95971,NF FEATHER RIVER,"GRIZZLY, BUCKS CREEK",,544.8898315,QUINCY+CA,"[-120.9471764, 39.9368363]",39.9368363,-120.9471764
59,122,ROCK CREEK,PLUMAS,112.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=57, 2=56.9",2/1/50,STORRIE,CA,95980,FEATHER  RIVER,NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,521.7572021000001,STORRIE+CA,"[-121.3232992, 39.9173852]",39.9173852,-121.3232992
60,124,TOADTOWN,BUTTE,1.5,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 = /1.8,4/1/86,MAGALIA,CA,95954,BUTTE CREEK,"HENDRICKS CANAL, BUTTE CREEK",PACIFIC GAS & ELECTRIC,849.1858520999999,MAGALIA+CA,"[-121.5783059, 39.8121058]",39.8121058,-121.5783059
61,125,DE SABLA,BUTTE,18.5,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,2/28/63,MAGALIA,CA,95954,FEATHER RIVER,"BUTTE CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,395.42172239999996,MAGALIA+CA,"[-121.5783059, 39.8121058]",39.8121058,-121.5783059
62,127,MUD CREEK,BUTTE,0.3,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/26/83,CHICO,CA,91710,SACRAMENTO RIVER,"MUD CREEK, SACRAMENTO RIVER",PERRY LOGGINGS,171.6243591,CHICO+CA,"[-121.8374777, 39.7284944]",39.7284944,-121.8374777
63,128,CRESTA,PLUMAS,70.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=35, 2=35",11/23/49,STORRIE,CA,95980,NF FEATHER RIVER,NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,435.731842,STORRIE+CA,"[-121.3232992, 39.9173852]",39.9173852,-121.3232992
64,129,PORTOLA,PLUMAS,5.7,OIL/GAS,OIL/GAS,DIESEL,INTERNAL COMBUSTION ENGINE,OPERATIONAL,"#1 = 2.0
#2 = 2.0
#3 = 2.0",1/1/60,PORTOLA,CA,96122,,,,1486.3927002,PORTOLA+CA,"[-120.4691034, 39.8104567]",39.8104567,-120.4691034
65,130,LASSEN,BUTTE,0.99,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,5/22/86,PULGA,CA,95965,CAMP CREEK,"CAMP CREEK, NORTH FORK FEATHER RIVER",LASSEN STATION HYDROELECTRIC LP,439.4815369,PULGA+CA,"[-121.4485797, 39.8029398]",39.8029398,-121.4485797
66,131,BLACK BUTTE,TEHAMA,6.4,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,10/1/88,TEHAMA,CA,95963,STONY CREEK,"STONY CREEK, SACRAMENTO RIVER, BLACK BUTTE RESERVOIR",CITY OF SANTA CLARA,118.46691129999999,TEHAMA+CA,"[-122.1233228, 40.0271015]",40.0271015,-122.1233228
67,132,CENTERVILLE,BUTTE,6.4,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,2/28/63,CHICO,CA,91710,BUTTE CREEK,"BUTTE CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,164.6843719,CHICO+CA,"[-121.8374777, 39.7284944]",39.7284944,-121.8374777
68,133,GRAEAGLE,PLUMAS,0.44,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,12/28/81,PLUMAS EUREKA,CA,96103,FEATHER RIVER,"GRAY EAGLE CREEK, MIDDLE FORK FEATHER RIVER",HENWOOD ASSOCIATES INC,1326.5822754,PLUMAS EUREKA+CA,"[-120.651667, 39.789722]",39.789722,-120.651667
69,134,HIGHLINE CANAL,GLENN,0.5,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,3/1/89,ORLAND,CA,95963,HIGH LINE CANAL,"HIGHLINE CANAL, STONY CK, ORLAND CK, ,2 MI S BLACK BUTTE LK",CITY OF SANTA CLARA,69.63034820000001,ORLAND+CA,"[-122.1963748, 39.7473803]",39.7473803,-122.1963748
70,135,POE,BUTTE,120.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=68, 2=60",5/1/58,STORRIE,CA,95980,FEATHER RIVER,NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,285.33535770000003,STORRIE+CA,"[-121.3232992, 39.9173852]",39.9173852,-121.3232992
71,136,SIERRA NEVADA BREWING FUEL CELL,BUTTE,1.2,OIL/GAS,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,,12/31/08,CHICO,CA,95928,,,,64.1393509,CHICO+CA,"[-121.8374777, 39.7284944]",39.7284944,-121.8374777
72,137,SIERRA NEVADA BREWING SOLAR,BUTTE,1.4,SOLAR,SOLAR,PHOTOVOLTAIC,ROOFTOP,OPERATIONAL,,12/31/08,CHICO,CA,95928,,,,63.6105652,CHICO+CA,"[-121.8374777, 39.7284944]",39.7284944,-121.8374777
73,138,LIME SADDLE,BUTTE,2.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1-#2 = /1.0,8/1/06,OROVILLE,CA,95965,"FEATHER RIVER, WEST BRANCH",WEST BROOK FEATHER RIVER,,298.5538635,OROVILLE+CA,"[-121.556359, 39.5137752]",39.5137752,-121.556359
74,141,SALMON CREEK,SIERRA,0.5,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,11/28/84,SIERRA CITY,CA,96124,,"SALMON CREEK, NORTH YUBA CREEK",HENWOOD ASSOCIATES INC,1631.78125,SIERRA CITY+CA,"[-120.6340689, 39.5664883]",39.5664883,-120.6340689
75,143,SLY CREEK,BUTTE,12.1,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,11/1/83,FEATHER FALLS,CA,95940,FEATHER RIVER,"LOST CREEK, SOUTH FORK FEATHER RIVER, SLY CREEK RESERVORI",OROVILLE-WYANDOTTE IRRIGATION DISTRICT,1018.5177002,FEATHER FALLS+CA,"[-121.2744065, 39.6429426]",39.6429426,-121.2744065
76,145,DOWNIEVILLE,SIERRA,0.7,OIL/GAS,OIL/GAS,DIESEL,COMBUSTION TURBINE,OPERATIONAL,#1 = /0.8,1/1/66,DOWNIEVILLE,CA,95936,,,,901.017334,DOWNIEVILLE+CA,"[-120.8276966, 39.5595198]",39.5595198,-120.8276966
77,146,STONY GORGE,GLENN,5.0,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=2.45, 2=2.45",3/1/86,ELK CREEK,CA,95939,STONY CREEK,"STONY CREEK, SACRAMENTO RIVER",CITY OF SANTA CLARA,225.9710693,ELK CREEK+CA,"[-122.5398032, 39.6050699]",39.6050699,-122.5398032
