"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),2007 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,,,,
"Donald C. Cook Nuclear Power Plant, Unit 2",D.C. Cook 2 ,05000316,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/69,12/23/77,7/1/78,8/30/05,12/23/37,3468,,91%,104%,84%,87%,101%,86%,,100%,84%,75%,,,,,
"Dresden Nuclear Power Station, Unit 2",Dresden 2,05000237,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,1/10/66,2/20/91,6/9/70,10/28/04,12/22/29,2957,"AEC issued a provisional OL on 12/22/1969, allowing commercial operations. The NRC issued a full-term OL on 02/20/1991.",104%,95%,102%,91%,98%,92%,,87%,78%,90%,,,,,
"Dresden Nuclear Power Station, Unit 3",Dresden 3,05000249,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,10/14/66,1/12/71,11/16/71,10/28/04,1/12/31,2957,,91%,99%,90%,97%,93%,100%,,93%,85%,94%,,,,,
Duane Arnold Energy Center,Duane Arnold,05000331,"Palo, IA (8 MI NW of Cedar Rapids,  IA)",3,"FPL Energy Duane Arnold, LLC",BWR-MARK 1,GE 4,BECH,BECH,6/22/70,2/22/74,2/1/75,12/16/10,2/21/34,1912,,83%,99%,89%,92%,103%,89%,,89%,100%,81%,,,,,
"Edwin I. Hatch Nuclear Plant, Unit 1",Hatch 1,05000321,"Baxley , GA (20 MI S of Vidalia,  GA)",2,Southern Nuclear Operating Co. ,BWR-MARK 1,GE 4,BECH,GPC,9/30/69,10/13/74,12/31/75,1/15/02,8/6/34,2804,,89%,98%,85%,94%,84%,98%,,91%,90%,95%,,,,,
"Edwin I. Hatch Nuclear Plant, Unit 2",Hatch 2,05000366,"Baxley , GA (20 MI S of Vidalia,  GA)",2,Southern Nuclear Operating Co. ,BWR-MARK 1,GE 4,BECH,GPC,12/27/72,6/13/78,9/5/79,1/15/02,6/13/38,2804,,98%,78%,96%,67%,96%,87%,,87%,97%,90%,,,,,
"Fermi, Unit 2",Fermi 2,05000341,"Newport, MI (25 MI NE of Toledo,  OH)",3,DTE Electric Company,BWR-MARK 1,GE 4,S&L,DANI,9/26/72,7/15/85,1/23/88,N/A,3/20/25,3430,,54%,94%,80%,75%,98%,85%,,90%,87%,83%,,,,,
"Fort Calhoun Station, Unit 1",Fort Calhoun,05000285,"Fort Calhoun, NE (19 MI N of Omaha,  NE)",4,Omaha Public Power District,PWR-DRYAMB,CE,GHDR,GHDR,6/7/68,8/9/73,9/26/73,11/4/03,8/9/33,1500,,0%,28%,102%,100%,83%,104%,,70%,97%,84%,,,,,
"Grand Gulf Nuclear Station, Unit 1",Grand Gulf 1,05000416,"Port Gibson, MS (20 MI S of Vicksburg,  MS)",4,"Entergy Operations, Inc.",BWR-MARK 3,GE 6,BECH,BECH,9/4/74,11/1/84,7/1/85,N/A,11/1/24,4408,,70%,94%,88%,100%,86%,84%,,91%,92%,99%,,,,,
"H. B. Robinson Steam Electric Plant, Unit 2",Robinson 2,05000261,"Hartsville, SC (26 MI NW of Florence,  SC)",2,"Carolina Power & Light Co.,",PWR-DRYAMB,WEST 3LP,EBSO,EBSO,4/13/67,7/31/70,3/7/71,4/19/04,7/31/30,2339,,85%,100%,57%,104%,87%,92%,,93%,92%,104%,,,,,
