OBJECTID,PLANT_NAME,COUNTY,ONLINE_MW,FACILITY,GENERAL_FUEL,PRIMARY_FUEL,TECHNOLOGY,STATUS,TURBINE_MW,ONLINE_DATE,PLANT_CITY,PLANT_STATE,PLANT_ZIPC,RIVER_SYSTEM,STREAM_NAME,DEVELOPER,ELEVATION
128,CRESTA,PLUMAS,70.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=35, 2=35",11/23/49,STORRIE,CA,95980,NF FEATHER RIVER,NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,435.7318420
129,PORTOLA,PLUMAS,5.70,OIL/GAS,OIL/GAS,DIESEL,INTERNAL COMBUSTION ENGINE,OPERATIONAL,"#1 = 2.0
#2 = 2.0
#3 = 2.0",1/1/60,PORTOLA,CA,96122,,,,1486.3927002
130,LASSEN,BUTTE,0.99,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,5/22/86,PULGA,CA,95965,CAMP CREEK,"CAMP CREEK, NORTH FORK FEATHER RIVER",LASSEN STATION HYDROELECTRIC LP,439.4815369
131,BLACK BUTTE,TEHAMA,6.40,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,10/1/88,TEHAMA,CA,95963,STONY CREEK,"STONY CREEK, SACRAMENTO RIVER, BLACK BUTTE RESERVOIR",CITY OF SANTA CLARA,118.4669113
132,CENTERVILLE,BUTTE,6.40,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,2/28/63,CHICO,CA,91710,BUTTE CREEK,"BUTTE CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,164.6843719
133,GRAEAGLE,PLUMAS,0.44,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,12/28/81,PLUMAS EUREKA,CA,96103,FEATHER RIVER,"GRAY EAGLE CREEK, MIDDLE FORK FEATHER RIVER",HENWOOD ASSOCIATES INC,1326.5822754
134,HIGHLINE CANAL,GLENN,0.50,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,3/1/89,ORLAND,CA,95963,HIGH LINE CANAL,"HIGHLINE CANAL, STONY CK, ORLAND CK, ,2 MI S BLACK BUTTE LK",CITY OF SANTA CLARA,69.6303482
135,POE,BUTTE,120.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=68, 2=60",5/1/58,STORRIE,CA,95980,FEATHER RIVER,NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,285.3353577
136,SIERRA NEVADA BREWING FUEL CELL,BUTTE,1.20,OIL/GAS,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,,12/31/08,CHICO,CA,95928,,,,64.1393509
137,SIERRA NEVADA BREWING SOLAR,BUTTE,1.40,SOLAR,SOLAR,PHOTOVOLTAIC,ROOFTOP,OPERATIONAL,,12/31/08,CHICO,CA,95928,,,,63.6105652
138,LIME SADDLE,BUTTE,2.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1-#2 = /1.0,8/1/06,OROVILLE,CA,95965,"FEATHER RIVER, WEST BRANCH",WEST BROOK FEATHER RIVER,,298.5538635
141,SALMON CREEK,SIERRA,0.50,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,11/28/84,SIERRA CITY,CA,96124,,"SALMON CREEK, NORTH YUBA CREEK",HENWOOD ASSOCIATES INC,1631.7812500
143,SLY CREEK,BUTTE,12.10,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,11/1/83,FEATHER FALLS,CA,95940,FEATHER RIVER,"LOST CREEK, SOUTH FORK FEATHER RIVER, SLY CREEK RESERVORI",OROVILLE-WYANDOTTE IRRIGATION DISTRICT,1018.5177002
145,DOWNIEVILLE,SIERRA,0.70,OIL/GAS,OIL/GAS,DIESEL,COMBUSTION TURBINE,OPERATIONAL,#1 = /0.8,1/1/66,DOWNIEVILLE,CA,95936,,,,901.0173340
