State,County,Entity ID,Entity,Facility ID,Plant Name,Generator ID,Unit Code,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Prime Mover,Primary Energy Source,Secondary Energy Source,Initial Month of Operation,Initial Year of Operation
MO,SAINT LOUIS CITY,623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,GEN3,,OP,11,11,11,311,ST,BIT,NG,1,1948
MO,SAINT LOUIS CITY,623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,GEN4,,OP,4.1,4.1,4.1,311,ST,BIT,NG,1,1939
VA,Russell,733,Appalachian Power Co,3775,Clinch River,1,,OP,237.5,230,235,22,ST,BIT,,9,1958
VA,Russell,733,Appalachian Power Co,3775,Clinch River,2,,OP,237.5,230,235,22,ST,BIT,,12,1958
VA,Russell,733,Appalachian Power Co,3775,Clinch River,3,,OP,237.5,230,235,22,ST,BIT,,12,1961
VA,Giles,733,Appalachian Power Co,3776,Glen Lyn,5,,OP,100,90,95,22,ST,BIT,,6,1944
VA,Giles,733,Appalachian Power Co,3776,Glen Lyn,6,,OP,237.5,235,240,22,ST,BIT,,5,1957
WV,Putnam,733,Appalachian Power Co,3935,John E Amos,1,,OP,816.3,800,800,22,ST,BIT,,9,1971
WV,Putnam,733,Appalachian Power Co,3935,John E Amos,2,,OP,816.3,800,800,22,ST,BIT,,6,1972
WV,Putnam,733,Appalachian Power Co,3935,John E Amos,3,,OP,1300,1300,1300,22,ST,BIT,,10,1973
WV,Kanawha,733,Appalachian Power Co,3936,Kanawha River,1,,OP,219.6,200,200,22,ST,BIT,,7,1953
WV,Kanawha,733,Appalachian Power Co,3936,Kanawha River,2,,OP,219.6,200,200,22,ST,BIT,,12,1953
WV,Mason,733,Appalachian Power Co,3938,Philip Sporn,1,,OP,152.5,145,150,22,ST,BIT,,1,1950
WV,Mason,733,Appalachian Power Co,3938,Philip Sporn,2,,OP,152.5,145,150,22,ST,BIT,,7,1950
WV,Mason,733,Appalachian Power Co,3938,Philip Sporn,3,,OP,152.5,145,150,22,ST,BIT,,8,1951
WV,Mason,733,Appalachian Power Co,3938,Philip Sporn,4,,OP,152.5,145,150,22,ST,BIT,,2,1952
WV,Mason,733,Appalachian Power Co,3938,Philip Sporn,5,,OP,495.5,440,450,22,ST,BIT,,12,1960
WV,Mason,733,Appalachian Power Co,6264,Mountaineer,1,,OP,1300,1300,1300,22,ST,BIT,,9,1980
