,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
129,ND,Mercer,Leland Olds,OP,216.0,LIG,1,1966
130,ND,Mercer,Leland Olds,OP,440.0,LIG,12,1975
131,WY,Platte,Laramie River Station,OP,570.0,SUB,9,1981
132,WY,Platte,Laramie River Station,OP,570.0,SUB,7,1981
133,WY,Platte,Laramie River Station,OP,570.0,SUB,11,1982
134,ND,Mercer,Antelope Valley,OP,434.9,LIG,7,1984
135,ND,Mercer,Antelope Valley,OP,434.9,LIG,7,1986
136,WY,Campbell,Dry Fork Station,OP,390.0,SUB,11,2011
137,KY,Hancock,Kenneth C Coleman,OP,205.0,BIT,9,1969
138,KY,Hancock,Kenneth C Coleman,OP,205.0,BIT,7,1970
139,KY,Hancock,Kenneth C Coleman,OP,192.0,BIT,12,1971
140,KY,Henderson,HMP&L Station Two Henderson,OP,200.0,BIT,6,1973
141,KY,Henderson,HMP&L Station Two Henderson,OP,205.0,BIT,4,1974
142,KY,Webster,Robert A Reid,OP,96.0,BIT,1,1966
143,KY,Webster,R D Green,OP,293.0,BIT,12,1979
144,KY,Webster,R D Green,OP,293.0,BIT,1,1981
145,KY,Ohio,D B Wilson,OP,566.1,BIT,9,1984
146,VA,King George,Birchwood Power,OP,258.3,BIT,11,1996
147,NY,Jefferson,Black River Generation,OA,55.5,BIT,6,1989
148,MI,Ontonagon,White Pine Electric Power,OP,20.0,BIT,12,1954
149,MI,Ontonagon,White Pine Electric Power,OP,20.0,BIT,12,1954
150,MI,Ontonagon,White Pine Electric Power,OS,20.0,BIT,12,1954
151,AL,Talladega,U S Alliance Coosa Pines,OP,12.5,BIT,1,1968
152,MI,St Clair,Cargill Salt,OP,2.0,BIT,1,1968
153,PA,Cambria,Cambria Cogen,OP,98.0,WC,3,1991
154,OH,WAYNE,Rittman Paperboard,SB,3.0,BIT,1,1928
155,OH,WAYNE,Rittman Paperboard,SB,5.0,BIT,1,1940
156,OH,WAYNE,Rittman Paperboard,SB,6.0,BIT,6,1946
157,OH,Jefferson,Cardinal,OP,615.2,BIT,2,1967
158,OH,Jefferson,Cardinal,OP,615.2,BIT,7,1967
159,OH,Jefferson,Cardinal,OP,650.0,BIT,9,1977
