,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
797,OH,Hamilton,Procter & Gamble Cincinnati Plant,OP,12.5,BIT,11,1965
798,CT,Fairfield,Bridgeport Station,OP,400.0,SUB,8,1968
799,CO,Denver,Arapahoe,OP,40.0,SUB,6,1951
800,CO,Denver,Arapahoe,OP,112.5,SUB,6,1955
801,CO,Adams,Cherokee,OP,125.0,BIT,6,1957
802,CO,Adams,Cherokee,OP,170.5,BIT,6,1962
803,CO,Adams,Cherokee,OP,380.8,BIT,6,1968
804,CO,Pueblo,Comanche,OP,382.5,SUB,6,1973
805,CO,Pueblo,Comanche,OP,396.0,SUB,6,1975
806,CO,Pueblo,Comanche,OP,856.8,SUB,7,2010
807,CO,Boulder,Valmont,OP,191.7,BIT,5,1964
808,CO,Routt,Hayden,OP,163.2,BIT,7,1965
809,CO,Routt,Hayden,OP,275.4,BIT,9,1976
810,CO,Morgan,Pawnee,OP,552.3,SUB,11,1981
811,IN,Vermillion,Cayuga,OP,531.0,BIT,10,1970
812,IN,Vermillion,Cayuga,OP,531.0,BIT,6,1972
813,IN,Floyd,R Gallagher,OP,150.0,BIT,6,1959
814,IN,Floyd,R Gallagher,OP,150.0,BIT,12,1958
815,IN,Floyd,R Gallagher,OP,150.0,BIT,4,1960
816,IN,Floyd,R Gallagher,OP,150.0,BIT,3,1961
817,IN,Vigo,Wabash River,OP,112.5,BIT,8,1953
818,IN,Vigo,Wabash River,OP,123.2,BIT,9,1954
819,IN,Vigo,Wabash River,OP,112.5,BIT,1,1955
820,IN,Vigo,Wabash River,OP,125.0,BIT,5,1956
821,IN,Vigo,Wabash River,OP,387.0,BIT,8,1968
822,IN,Gibson,Gibson,OP,667.9,BIT,5,1976
823,IN,Gibson,Gibson,OP,667.9,BIT,4,1975
824,IN,Gibson,Gibson,OP,667.9,BIT,3,1978
825,IN,Gibson,Gibson,OP,667.9,BIT,3,1979
826,IN,Gibson,Gibson,OP,667.9,BIT,10,1982
827,NH,Merrimack,Merrimack,OP,113.6,BIT,12,1960
828,NH,Merrimack,Merrimack,OP,345.6,BIT,5,1968
829,NH,Rockingham,Schiller,OP,50.0,BIT,10,1952
830,NH,Rockingham,Schiller,OP,50.0,BIT,7,1957
831,NM,San Juan,San Juan,OP,369.0,SUB,12,1976
832,NM,San Juan,San Juan,OP,369.0,SUB,11,1973
833,NM,San Juan,San Juan,OP,555.0,SUB,12,1979
834,NM,San Juan,San Juan,OP,555.0,SUB,4,1982
835,TX,Wilbarger,Oklaunion,OP,720.0,SUB,12,1986
836,OK,Rogers,Northeastern,OP,473.0,SUB,12,1979
837,OK,Rogers,Northeastern,OP,473.0,SUB,9,1980
838,IN,Tippecanoe,Purdue University,OP,30.8,BIT,7,1995
839,IN,Tippecanoe,Purdue University,OP,10.6,BIT,1,1969
840,PA,Montour,PPL Montour,OP,805.5,BIT,2,1971
841,PA,Montour,PPL Montour,OP,17.2,BIT,4,1973
842,PA,Montour,PPL Montour,OP,819.0,BIT,4,1973
843,PA,York,PPL Brunner Island,OP,363.3,BIT,5,1961
844,PA,York,PPL Brunner Island,OP,405.0,BIT,9,1965
845,PA,York,PPL Brunner Island,OP,790.4,BIT,6,1969
846,PA,Indiana,Conemaugh,OP,936.0,BIT,5,1970
847,PA,Indiana,Conemaugh,OP,936.0,BIT,5,1971
848,PA,Armstrong,Keystone,OP,936.0,BIT,8,1967
849,PA,Armstrong,Keystone,OP,936.0,BIT,7,1968
850,IN,WAYNE,Whitewater Valley,OP,33.0,BIT,3,1955
851,IN,WAYNE,Whitewater Valley,OP,60.9,BIT,8,1973
852,CA,Kern,Rio Bravo Poso,OP,38.2,BIT,9,1989
853,CA,Kern,Rio Bravo Jasmin,OP,38.2,SUB,9,1989
854,MN,Olmsted,Silver Lake,OP,8.0,BIT,8,1948
855,MN,Olmsted,Silver Lake,OP,12.0,BIT,12,1953
856,MN,Olmsted,Silver Lake,OP,25.0,BIT,11,1962
857,MN,Olmsted,Silver Lake,OP,54.0,BIT,12,1969
858,MT,Big Horn,Hardin Generator Project,OP,115.7,SUB,3,2006
859,MA,Worcester,Norton Powerhouse,OP,2.5,BIT,1,1939
860,MA,Worcester,Norton Powerhouse,OP,3.1,BIT,1,1954
861,AZ,Coconino,Navajo,OP,803.1,BIT,5,1974
862,AZ,Coconino,Navajo,OP,803.1,BIT,4,1975
863,AZ,Coconino,Navajo,OP,803.1,BIT,4,1976
864,AZ,Apache,Coronado,OP,410.9,SUB,12,1979
865,AZ,Apache,Coronado,OP,410.9,SUB,10,1980
866,TX,Bexar,J T Deely,OP,486.0,SUB,8,1977
867,TX,Bexar,J T Deely,OP,446.0,SUB,8,1978
868,TX,Bexar,J K Spruce,OP,566.0,SUB,12,1992
869,TX,Bexar,J K Spruce,OP,878.0,SUB,5,2010
870,TX,Atascosa,San Miguel,OP,410.0,LIG,1,1982
871,PA,Schuylkill,St Nicholas Cogen Project,OP,99.2,WC,9,1990
872,OH,Richland,Shelby Municipal Light Plant,OS,12.5,BIT,6,1968
873,OH,Richland,Shelby Municipal Light Plant,OS,12.5,BIT,5,1973
874,OH,Richland,Shelby Municipal Light Plant,OS,5.0,BIT,4,1948
875,OH,Richland,Shelby Municipal Light Plant,SB,7.0,BIT,6,1954
876,NV,Humboldt,North Valmy,OP,277.2,BIT,12,1981
877,NV,Humboldt,North Valmy,OP,289.8,BIT,5,1985
878,MO,Scott,Sikeston Power Station,OP,261.0,SUB,9,1981
879,PA,Northampton,Portland,OP,172.0,BIT,10,1958
880,PA,Northampton,Portland,OP,255.0,BIT,9,1962
881,PA,Berks,Titus,OP,75.0,BIT,3,1951
882,PA,Berks,Titus,OP,75.0,BIT,6,1951
883,PA,Berks,Titus,OP,75.0,BIT,4,1953
884,PA,Clearfield,Shawville,OP,125.0,BIT,8,1954
885,PA,Clearfield,Shawville,OP,125.0,BIT,3,1954
886,PA,Clearfield,Shawville,OP,188.0,BIT,12,1959
887,PA,Clearfield,Shawville,OP,188.0,BIT,4,1960
888,SC,Colleton,Canadys Steam,OP,136.0,BIT,4,1962
889,SC,Colleton,Canadys Steam,OP,136.0,BIT,5,1964
890,SC,Colleton,Canadys Steam,OP,217.6,BIT,6,1967
891,SC,Lexington,McMeekin,OP,146.8,BIT,7,1958
892,SC,Lexington,McMeekin,OP,146.8,BIT,12,1958
893,SC,Aiken,Urquhart,OP,100.0,BIT,11,1955
894,SC,Richland,Wateree,OP,385.9,BIT,9,1970
895,SC,Richland,Wateree,OP,385.9,BIT,12,1971
896,SC,Orangeburg,Cope,OP,417.3,BIT,1,1996
897,SC,Charleston,Cogen South,OP,99.2,BIT,4,1999
898,SC,Berkeley,Cross,OP,590.9,BIT,5,1995
899,SC,Berkeley,Cross,OP,556.2,BIT,5,1984
900,SC,Berkeley,Cross,OP,591.0,BIT,1,2007
901,SC,Berkeley,Cross,OP,652.0,BIT,10,2008
902,SC,Horry,Dolphus M Grainger,OP,81.6,BIT,6,1966
903,SC,Horry,Dolphus M Grainger,OP,81.6,BIT,6,1966
904,SC,Berkeley,Jefferies,OP,172.8,BIT,1,1970
905,SC,Berkeley,Jefferies,OP,172.8,BIT,1,1970
906,SC,Georgetown,Winyah,OP,315.0,BIT,3,1975
907,SC,Georgetown,Winyah,OP,315.0,BIT,7,1977
908,SC,Georgetown,Winyah,OP,315.0,BIT,5,1980
909,SC,Georgetown,Winyah,OP,315.0,BIT,11,1981
910,SC,Berkeley,Williams,OP,632.7,BIT,7,1973
911,MS,Lamar,R D Morrow,OP,200.0,BIT,4,1978
912,MS,Lamar,R D Morrow,OP,200.0,BIT,12,1978
913,MN,Renville,Southern Minnesota Beet Sugar,SB,7.5,SUB,9,1976
914,NV,Clark,Mohave,OS,818.1,SUB,4,1971
915,NV,Clark,Mohave,OS,818.1,SUB,10,1971
916,GA,Laurens,Dublin Mill,OP,45.0,BIT,7,1989
917,IL,Williamson,Marion,OP,33.0,BIT,6,1963
918,IL,Williamson,Marion,OP,33.0,BIT,8,1963
919,IL,Williamson,Marion,OP,33.0,BIT,9,1963
920,IL,Williamson,Marion,OP,173.0,BIT,10,1978
921,IN,Warrick,F B Culley,OP,103.7,BIT,12,1966
922,IN,Warrick,F B Culley,OP,265.2,BIT,6,1973
923,IN,Posey,A B Brown,OP,265.2,BIT,3,1979
924,IN,Posey,A B Brown,OP,265.2,BIT,2,1986
925,AR,Benton,Flint Creek,OP,558.0,SUB,5,1978
926,TX,Titus,Welsh,OP,558.0,SUB,3,1977
927,TX,Titus,Welsh,OP,558.0,SUB,4,1980
928,TX,Titus,Welsh,OP,558.0,SUB,3,1982
929,TX,Harrison,Pirkey,OP,721.0,LIG,1,1985
930,TX,Potter,Harrington,OP,360.0,SUB,1,1976
931,TX,Potter,Harrington,OP,360.0,SUB,1,1978
932,TX,Potter,Harrington,OP,360.0,SUB,1,1980
933,TX,Lamb,Tolk,OP,567.9,SUB,1,1982
934,TX,Lamb,Tolk,OP,567.9,SUB,1,1985
935,IL,Sangamon,Dallman,OP,90.2,BIT,6,1968
936,IL,Sangamon,Dallman,OP,90.2,BIT,6,1972
937,IL,Sangamon,Dallman,OP,207.3,BIT,6,1978
938,IL,Sangamon,Dallman,OP,280.0,BIT,5,2009
939,MO,Greene,James River Power Station,OP,22.0,SUB,8,1957
940,MO,Greene,James River Power Station,OP,22.0,SUB,6,1957
941,MO,Greene,James River Power Station,OP,44.0,SUB,2,1960
942,MO,Greene,James River Power Station,OP,60.0,SUB,5,1964
943,MO,Greene,James River Power Station,OP,105.0,SUB,5,1970
944,MO,Greene,John Twitty Energy Center,OP,194.0,SUB,6,1976
945,MO,Greene,John Twitty Energy Center,OP,300.0,SUB,1,2011
946,WI,Dodge,Waupun Correctional Central Heating Plt,OP,1.0,BIT,5,1951
947,WI,Dodge,Waupun Correctional Central Heating Plt,OP,1.0,BIT,5,1951
948,WI,DANE,UW Madison Charter Street Plant,OP,9.7,BIT,1,1965
949,IN,Lake,State Line Energy,OP,124.9,SUB,12,1955
950,IN,Lake,State Line Energy,OA,100.0,SUB,12,1955
951,IN,Lake,State Line Energy,OP,209.4,SUB,5,1962
952,IN,Lake,State Line Energy,OA,179.5,SUB,5,1962
953,SC,Florence,Florence Mill,OP,79.1,BIT,3,1987
954,KS,Finney,Holcomb,OP,348.7,SUB,8,1983
955,MI,Manistee,TES Filer City Station,OP,70.0,BIT,5,1990
956,FL,Hillsborough,Big Bend,OP,445.5,BIT,10,1970
957,FL,Hillsborough,Big Bend,OP,445.5,BIT,4,1973
958,FL,Hillsborough,Big Bend,OP,445.5,BIT,5,1976
959,FL,Hillsborough,Big Bend,OP,486.0,BIT,2,1985
960,FL,Polk,Polk,OP,133.4,SGC,9,1996
961,FL,Polk,Polk,OP,192.9,SGC,9,1996
962,AL,Colbert,Colbert,OP,200.0,BIT,1,1955
963,AL,Colbert,Colbert,OP,200.0,BIT,3,1955
964,AL,Colbert,Colbert,OP,200.0,BIT,7,1955
965,AL,Colbert,Colbert,OP,200.0,BIT,11,1955
966,AL,Colbert,Colbert,OP,550.0,BIT,11,1965
967,AL,Jackson,Widows Creek,OS,140.6,BIT,7,1952
968,AL,Jackson,Widows Creek,OS,140.6,BIT,10,1952
969,AL,Jackson,Widows Creek,OS,140.6,BIT,11,1952
970,AL,Jackson,Widows Creek,OS,140.6,BIT,1,1953
971,AL,Jackson,Widows Creek,OS,140.6,BIT,6,1954
972,AL,Jackson,Widows Creek,OP,140.6,BIT,7,1954
973,AL,Jackson,Widows Creek,OP,575.0,BIT,2,1961
974,AL,Jackson,Widows Creek,OP,550.0,BIT,2,1965
975,KY,Muhlenberg,Paradise,OP,704.0,BIT,11,1963
976,KY,Muhlenberg,Paradise,OP,704.0,BIT,5,1963
977,KY,Muhlenberg,Paradise,OP,1150.2,SUB,2,1970
978,KY,McCracken,Shawnee,OP,175.0,BIT,4,1953
979,KY,McCracken,Shawnee,OS,175.0,BIT,10,1956
980,KY,McCracken,Shawnee,OP,175.0,BIT,6,1953
981,KY,McCracken,Shawnee,OP,175.0,BIT,10,1953
982,KY,McCracken,Shawnee,OP,175.0,BIT,1,1954
983,KY,McCracken,Shawnee,OP,175.0,BIT,10,1954
984,KY,McCracken,Shawnee,OP,175.0,BIT,11,1954
985,KY,McCracken,Shawnee,OP,175.0,BIT,12,1954
986,KY,McCracken,Shawnee,OP,175.0,BIT,3,1955
987,KY,McCracken,Shawnee,OP,175.0,BIT,7,1955
988,TN,Shelby,Allen Steam Plant,OP,330.0,SUB,5,1959
989,TN,Shelby,Allen Steam Plant,OP,330.0,SUB,5,1959
990,TN,Shelby,Allen Steam Plant,OP,330.0,SUB,10,1959
991,TN,Anderson,Bull Run,OP,950.0,BIT,6,1967
992,TN,Stewart,Cumberland,OP,1300.0,BIT,3,1973
993,TN,Stewart,Cumberland,OP,1300.0,BIT,11,1973
994,TN,Sumner,Gallatin,OP,300.0,SUB,11,1956
995,TN,Sumner,Gallatin,OP,300.0,SUB,6,1957
996,TN,Sumner,Gallatin,OP,327.6,SUB,5,1959
997,TN,Sumner,Gallatin,OP,327.6,SUB,8,1959
998,TN,Hawkins,John Sevier,OP,200.0,BIT,7,1955
999,TN,Hawkins,John Sevier,OP,200.0,BIT,9,1955
1000,TN,Hawkins,John Sevier,OP,200.0,BIT,2,1956
1001,TN,Hawkins,John Sevier,OP,200.0,BIT,10,1957
1002,TN,Humphreys,Johnsonville,OP,125.0,SUB,10,1951
1003,TN,Humphreys,Johnsonville,OP,172.8,SUB,8,1959
1004,TN,Humphreys,Johnsonville,OP,125.0,SUB,11,1951
1005,TN,Humphreys,Johnsonville,OP,125.0,SUB,2,1952
1006,TN,Humphreys,Johnsonville,OP,125.0,SUB,4,1952
1007,TN,Humphreys,Johnsonville,OP,147.0,SUB,11,1952
1008,TN,Humphreys,Johnsonville,OP,147.0,SUB,2,1953
1009,TN,Humphreys,Johnsonville,OP,172.8,SUB,11,1958
1010,TN,Humphreys,Johnsonville,OP,172.8,SUB,1,1959
1011,TN,Humphreys,Johnsonville,OP,172.8,SUB,6,1959
1012,TN,Roane,Kingston,OP,175.0,BIT,2,1954
1013,TN,Roane,Kingston,OP,175.0,BIT,4,1954
1014,TN,Roane,Kingston,OP,175.0,BIT,6,1954
1015,TN,Roane,Kingston,OP,175.0,BIT,7,1954
1016,TN,Roane,Kingston,OP,200.0,BIT,1,1955
1017,TN,Roane,Kingston,OP,200.0,BIT,3,1955
1018,TN,Roane,Kingston,OP,200.0,BIT,5,1955
1019,TN,Roane,Kingston,OP,200.0,BIT,8,1955
1020,TN,Roane,Kingston,OP,200.0,BIT,12,1955
1021,TX,Grimes,Gibbons Creek,OP,453.5,SUB,10,1983
1022,WA,Lewis,Transalta Centralia Generation,OP,729.9,SUB,12,1972
1023,WA,Lewis,Transalta Centralia Generation,OP,729.9,SUB,7,1973
1024,IL,Douglas,Tuscola Station,SB,6.0,BIT,6,1953
1025,IL,Douglas,Tuscola Station,OP,6.0,BIT,6,1953
1026,IL,Douglas,Tuscola Station,OP,6.0,BIT,1,2001
1027,CO,Jefferson,Colorado Energy Nations Company,OP,7.5,BIT,9,1976
1028,CO,Jefferson,Colorado Energy Nations Company,OP,7.5,BIT,5,1977
1029,CO,Jefferson,Colorado Energy Nations Company,OP,20.0,BIT,6,1983
1030,CO,Jefferson,Colorado Energy Nations Company,SB,0.4,BIT,10,1997
1031,NY,Onondaga,Trigen Syracuse Energy,OP,90.6,BIT,8,1991
1032,NY,Onondaga,Trigen Syracuse Energy,OP,10.5,BIT,7,2002
1033,CO,LAS ANIMAS,Trinidad,OS,3.7,BIT,5,1950
1034,TX,Milam,Sandow No 4,OP,590.6,LIG,5,1981
1035,MO,Franklin,Labadie,OP,573.7,SUB,6,1970
1036,MO,Franklin,Labadie,OP,573.7,SUB,6,1971
1037,MO,Franklin,Labadie,OP,621.0,SUB,8,1972
1038,MO,Franklin,Labadie,OP,621.0,SUB,8,1973
1039,MO,St Louis,Meramec,OP,137.5,SUB,5,1953
1040,MO,St Louis,Meramec,OP,137.5,SUB,7,1954
1041,MO,St Louis,Meramec,OP,289.0,SUB,1,1959
1042,MO,St Louis,Meramec,OP,359.0,SUB,7,1961
1043,MO,St Charles,Sioux,OP,549.7,SUB,5,1967
1044,MO,St Charles,Sioux,OP,549.7,SUB,5,1968
1045,MO,Jefferson,Rush Island,OP,621.0,SUB,3,1976
1046,MO,Jefferson,Rush Island,OP,621.0,SUB,3,1977
1047,AK,Fairbanks North Star,University of Alaska Fairbanks,OP,1.5,SUB,1,1964
1048,AK,Fairbanks North Star,University of Alaska Fairbanks,OP,1.5,SUB,1,1964
1049,AK,Fairbanks North Star,University of Alaska Fairbanks,OP,10.0,SUB,4,1981
1050,IL,Champaign,University of Illinois Abbott Power Plt,OP,12.5,BIT,8,2004
1051,IL,Champaign,University of Illinois Abbott Power Plt,OP,12.5,BIT,6,2004
1052,IL,Champaign,University of Illinois Abbott Power Plt,OP,7.0,BIT,4,2004
1053,IL,Champaign,University of Illinois Abbott Power Plt,OP,7.5,BIT,6,1959
1054,IL,Champaign,University of Illinois Abbott Power Plt,OP,7.5,BIT,8,1962
1055,IA,Johnson,University of Iowa Main Power Plant,OP,3.0,BIT,1,1947
1056,IA,Johnson,University of Iowa Main Power Plant,OP,3.0,BIT,1,1956
1057,IA,Johnson,University of Iowa Main Power Plant,OP,15.0,BIT,1,1974
1058,NC,Orange,Univ of NC Chapel Hill Cogen Facility,OP,28.0,BIT,7,1991
1059,SD,Pennington,Ben French,OP,25.0,SUB,1,1961
1060,WY,Campbell,Neil Simpson,OP,21.7,SUB,9,1969
1061,WY,Weston,Osage,SB,11.5,SUB,10,1948
1062,WY,Weston,Osage,SB,11.5,SUB,10,1949
1063,WY,Weston,Osage,SB,11.5,SUB,9,1952
1064,WY,Campbell,Neil Simpson II,OP,80.0,SUB,9,1995
1065,WY,CAMPBELL,Wygen 1,OP,88.0,SUB,1,2003
1066,WY,Campbell,Wygen 2,OP,95.0,SUB,1,2008
1067,WY,CAMPBELL,Wygen III,OP,116.2,SUB,4,2010
1068,IN,ST JOSEPH,University of Notre Dame,OP,3.0,BIT,6,1962
1069,IN,ST JOSEPH,University of Notre Dame,OP,1.7,BIT,7,1952
1070,IN,ST JOSEPH,University of Notre Dame,OP,2.0,BIT,9,1956
1071,IN,ST JOSEPH,University of Notre Dame,OP,5.0,BIT,2,1967
1072,IN,ST JOSEPH,University of Notre Dame,OP,9.4,BIT,3,2000
1073,MI,Delta,Escanaba,OP,11.5,BIT,5,1958
1074,MI,Delta,Escanaba,OP,11.5,BIT,5,1958
1075,TN,Davidson,Vanderbilt University Power Plant,OP,6.5,BIT,11,1988
1076,TN,Davidson,Vanderbilt University Power Plant,OP,4.5,BIT,6,1989
1077,VA,Fluvanna,Bremo Bluff,OP,69.0,BIT,6,1950
1078,VA,Fluvanna,Bremo Bluff,OP,185.2,BIT,8,1958
1079,VA,Chesterfield,Chesterfield,OP,112.5,BIT,12,1952
1080,VA,Chesterfield,Chesterfield,OP,187.5,BIT,6,1960
1081,VA,Chesterfield,Chesterfield,OP,359.0,BIT,8,1964
1082,VA,Chesterfield,Chesterfield,OP,693.9,BIT,12,1969
1083,VA,Chesapeake,Chesapeake,OP,185.2,BIT,6,1959
1084,VA,Chesapeake,Chesapeake,OP,112.5,BIT,6,1953
1085,VA,Chesapeake,Chesapeake,OP,112.5,BIT,12,1954
1086,VA,Chesapeake,Chesapeake,OP,239.3,BIT,5,1962
1087,VA,York,Yorktown,OP,187.5,BIT,7,1957
1088,VA,York,Yorktown,OP,187.5,BIT,1,1959
1089,WV,Grant,Mt Storm,OP,570.2,BIT,9,1965
1090,WV,Grant,Mt Storm,OP,570.2,BIT,7,1966
1091,WV,Grant,Mt Storm,OP,522.0,BIT,12,1973
1092,VA,Halifax,Clover,OP,424.0,BIT,10,1995
1093,VA,Halifax,Clover,OP,424.0,BIT,3,1996
1094,WV,Grant,North Branch,OS,80.0,WC,5,1992
1095,VA,Hopewell City,Hopewell Power Station,OP,71.1,BIT,7,1992
1096,VA,Campbell,Altavista Power Station,OP,71.1,BIT,2,1992
1097,VA,Southampton,Southampton Power Station,OP,71.1,BIT,3,1992
1098,VA,Mecklenburg,Mecklenburg Power Station,OP,69.9,BIT,11,1992
1099,VA,Mecklenburg,Mecklenburg Power Station,OP,69.9,BIT,11,1992
1100,MN,St Louis,Virginia,OS,4.0,SUB,8,1992
1101,MN,St Louis,Virginia,OP,7.5,SUB,8,1954
1102,MN,St Louis,Virginia,OP,18.7,SUB,8,1971
1103,OK,Choctaw,Hugo,OP,446.0,SUB,4,1982
1104,VA,Covington,Covington Facility,OP,10.5,BIT,1,1939
1105,VA,Covington,Covington Facility,OP,10.5,BIT,1,1946
1106,VA,Covington,Covington Facility,OP,10.5,BIT,1,1951
1107,VA,Covington,Covington Facility,OP,34.0,BIT,9,1989
1108,PA,Schuylkill,Wheelabrator Frackville Energy,OP,48.0,WC,9,1988
1109,MN,Kandiyohi,Willmar,OP,18.0,SUB,11,1970
1110,MI,Marquette,Presque Isle,OP,90.0,BIT,12,1974
1111,MI,Marquette,Presque Isle,OP,90.0,BIT,4,1975
1112,MI,Marquette,Presque Isle,OP,90.0,SUB,6,1978
1113,MI,Marquette,Presque Isle,OP,90.0,SUB,11,1978
1114,MI,Marquette,Presque Isle,OP,90.0,SUB,8,1979
1115,WI,Milwaukee,South Oak Creek,OP,275.0,SUB,12,1959
1116,WI,Milwaukee,South Oak Creek,OP,275.0,SUB,12,1961
1117,WI,Milwaukee,South Oak Creek,OP,317.6,SUB,3,1965
1118,WI,Milwaukee,South Oak Creek,OP,324.0,SUB,10,1967
1119,WI,Milwaukee,Valley,OP,136.0,BIT,6,1968
1120,WI,Milwaukee,Valley,OP,136.0,BIT,3,1969
1121,WI,Kenosha,Pleasant Prairie,OP,616.5,SUB,6,1980
1122,WI,Kenosha,Pleasant Prairie,OP,616.5,SUB,7,1985
1123,WI,Milwaukee,Milwaukee County,OP,11.0,BIT,3,1996
1124,WI,Milwaukee,Elm Road Generating Station,OP,701.3,BIT,2,2010
1125,WI,Milwaukee,Elm Road Generating Station,OP,615.0,BIT,1,2011
1126,WI,Sheboygan,Edgewater,SB,60.0,SUB,7,1951
1127,WI,Sheboygan,Edgewater,OP,330.0,SUB,12,1969
1128,WI,Sheboygan,Edgewater,OP,380.0,SUB,3,1985
1129,WI,Grant,Nelson Dewey,OP,100.0,SUB,12,1959
1130,WI,Grant,Nelson Dewey,OP,100.0,SUB,12,1962
1131,WI,Columbia,Columbia,OP,512.0,SUB,5,1975
1132,WI,Columbia,Columbia,OP,511.0,SUB,5,1978
1133,WI,Brown,Pulliam,OP,50.0,SUB,9,1949
1134,WI,Brown,Pulliam,OP,69.0,SUB,11,1951
1135,WI,Brown,Pulliam,OP,81.6,SUB,11,1958
1136,WI,Brown,Pulliam,OP,149.6,SUB,12,1964
1137,WI,Marathon,Weston,OP,60.0,SUB,12,1954
1138,WI,Marathon,Weston,OP,81.6,SUB,9,1960
1139,WI,Marathon,Weston,OP,350.5,SUB,12,1981
1140,WI,Marathon,Weston,OP,595.0,SUB,7,2008
1141,PA,Schuylkill,WPS Westwood Generation LLC,OP,36.0,WC,6,1987
1142,MI,Wayne,Wyandotte,OP,11.5,BIT,1,1948
1143,MI,Wayne,Wyandotte,OP,22.0,BIT,1,1958
1144,MI,Wayne,Wyandotte,OP,7.5,BIT,1,1969
1145,MI,Wayne,Wyandotte,OP,32.0,BIT,7,1986
1146,IA,Black Hawk,University of Northern Iowa,OP,7.5,BIT,11,1982
1147,FL,Putnam,Seminole,OP,714.6,BIT,2,1984
1148,FL,Putnam,Seminole,OP,714.6,BIT,1,1985
1149,UT,Carbon,Sunnyside Cogen Associates,OP,58.1,WC,2,1993
1150,PA,Snyder,Sunbury Generation LP,OP,89.1,BIT,11,1949
1151,PA,Snyder,Sunbury Generation LP,OP,89.1,BIT,9,1949
1152,PA,Snyder,Sunbury Generation LP,OP,103.5,BIT,4,1951
1153,PA,Snyder,Sunbury Generation LP,OP,156.2,BIT,8,1953
1154,KY,Lawrence,Big Sandy,OP,280.5,BIT,1,1963
1155,KY,Lawrence,Big Sandy,OP,816.3,BIT,10,1969
1156,NY,Tompkins,AES Cayuga,OP,155.3,BIT,9,1955
1157,NY,Tompkins,AES Cayuga,OP,167.2,BIT,9,1955
1158,NY,Niagara,AES Somerset LLC,OP,655.1,BIT,8,1984
1159,NY,Broome,AES Westover,OS,75.0,BIT,11,1951
1160,AK,Fairbanks North Star,Eielson AFB Central Heat & Power Plant,OP,2.5,SUB,10,1952
1161,AK,Fairbanks North Star,Eielson AFB Central Heat & Power Plant,OP,2.5,SUB,10,1952
1162,AK,Fairbanks North Star,Eielson AFB Central Heat & Power Plant,OP,5.0,SUB,8,1955
1163,AK,Fairbanks North Star,Eielson AFB Central Heat & Power Plant,OP,5.0,SUB,6,1969
1164,AK,Fairbanks North Star,Eielson AFB Central Heat & Power Plant,OP,10.0,SUB,10,1987
1165,VA,Montgomery,Radford Army Ammunition Plant,OP,6.0,BIT,1,1990
1166,VA,Montgomery,Radford Army Ammunition Plant,OP,6.0,BIT,1,1990
1167,VA,Montgomery,Radford Army Ammunition Plant,OP,6.0,BIT,1,1990
1168,VA,Montgomery,Radford Army Ammunition Plant,OP,6.0,BIT,1,1990
1169,KS,Douglas,Lawrence Energy Center,OP,49.0,SUB,1,1955
1170,KS,Douglas,Lawrence Energy Center,OP,114.0,SUB,3,1960
1171,KS,Douglas,Lawrence Energy Center,OP,403.0,SUB,5,1971
1172,KS,Shawnee,Tecumseh Energy Center,OP,82.0,SUB,8,1957
1173,KS,Shawnee,Tecumseh Energy Center,OP,150.0,SUB,4,1962
1174,KS,Pottawatomie,Jeffrey Energy Center,OP,720.0,SUB,7,1978
1175,KS,Pottawatomie,Jeffrey Energy Center,OP,720.0,SUB,5,1980
1176,KS,Pottawatomie,Jeffrey Energy Center,OP,720.0,SUB,5,1983
1177,MD,WASHINGTON,FirstEnergy R Paul Smith Power Station,OP,75.0,BIT,11,1958
1178,MD,WASHINGTON,FirstEnergy R Paul Smith Power Station,OP,34.5,BIT,10,1947
1179,PA,Armstrong,FirstEnergy Armstrong Power Station,OP,163.2,BIT,4,1958
1180,PA,Armstrong,FirstEnergy Armstrong Power Station,OP,163.2,BIT,6,1959
1181,PA,Greene,Hatfields Ferry Power Station,OP,576.0,BIT,11,1969
1182,PA,Greene,Hatfields Ferry Power Station,OP,576.0,BIT,10,1970
1183,PA,Greene,Hatfields Ferry Power Station,OP,576.0,BIT,12,1971
1184,PA,Washington,FirstEnergy Mitchell Power Station,OP,299.2,BIT,8,1963
1185,WV,Harrison,FirstEnergy Harrison Power Station,OP,684.0,BIT,12,1972
1186,WV,Harrison,FirstEnergy Harrison Power Station,OP,684.0,BIT,12,1973
1187,WV,Harrison,FirstEnergy Harrison Power Station,OP,684.0,BIT,12,1974
1188,WV,Pleasants,FirstEnergy Pleasants Power Station,OP,684.0,BIT,4,1979
1189,WV,Pleasants,FirstEnergy Pleasants Power Station,OP,684.0,BIT,12,1980
1190,NC,Haywood,Canton North Carolina,OP,7.5,BIT,1,1937
1191,NC,Haywood,Canton North Carolina,OP,7.5,BIT,1,1941
1192,NC,Haywood,Canton North Carolina,OP,7.5,BIT,1,1946
1193,NC,Haywood,Canton North Carolina,OP,7.5,BIT,1,1949
1194,NC,Haywood,Canton North Carolina,OP,10.0,BIT,1,1952
1195,NC,Haywood,Canton North Carolina,OP,12.5,BIT,6,1979
1196,ID,Canyon,Amalgamated Sugar LLC Nampa,OP,2.2,SUB,10,1948
