,PLANT_NAME,ONLINE_MW,FACILITY,PRIMARY_FUEL,TECHNOLOGY,STATUS,location,lat,lon
1251,TORRANCE REFINERY,49.3,OIL/GAS,NATURAL GAS,"GAS TURBINE, STEAM TURBINE",OPERATIONAL,TORRANCE+CA,33.8358492,-118.3406288
1252,ARCO PETROLEUM PRODUCTS CO.,12.0,OIL/GAS,NATURAL GAS,STEAM TURBINE,OPERATIONAL,CARSON+CA,33.8316745,-118.281693
1253,WATSON COGEN,398.0,OIL/GAS,NATURAL GAS,"GAS TURBINE, STEAM TURBINE",OPERATIONAL,CARSON+CA,33.8316745,-118.281693
1254,TOTAL ENERGY FACILITY,35.2,WTE,DIGESTER GAS,"GAS TURBINE, COMBINED CYCLE",OPERATIONAL,CARSON+CA,33.8316745,-118.281693
1255,BIXBY KNOLLS TOWERS,0.12,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,LONG BEACH+CA,33.7700504,-118.1937395
1256,RHONE-POULENC - DOMINGUEZ,5.0,OIL/GAS,NATURAL GAS,"STEAM TURBINE, BOTTOMING CYCLE",OPERATIONAL,CARSON+CA,33.8316745,-118.281693
1257,ALL METALS PROCESSING,0.18,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,STANTON+CA,33.8025155,-117.9931165
1258,PALOS VERDES,13.0,WTE,LANDFILL GAS,RECIPROCATING ENGINE,OPERATIONAL,ROLLING HILLS ESTATES+CA,33.7877943,-118.3581284
1259,CSU LONG BEACH - DORM,0.15,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,LONG BEACH+CA,33.7700504,-118.1937395
1260,CSU LONG BEACH - POOL,0.2,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,LONG BEACH+CA,33.7700504,-118.1937395
1261,QUEEN MARY,1.0,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,LONG BEACH+CA,33.7700504,-118.1937395
1262,SOUTHEAST RESOURCE RECOVERY,34.6,WTE,MSW,MUNICIPAL SOLID WASTE,OPERATIONAL,LONG BEACH+CA,33.7700504,-118.1937395
